Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	orig.sound.file	song.type.lek	SNR	prevalence
1	2	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	1	1	Spectrogram 1	1	1172.32545392787	2648.15842700099	start_marker	NA	NA	NA
2.1	2.26680272108844	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	2.1	2	Spectrogram 1	1	1431.3	10781.7994	0.CCL.2019.7.16.9.08.WAV_1	CCL-L2	20.1116608105716	high
2.36680272108844	2.46689342403628	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	2.36680272108844	3	Spectrogram 1	1	1932.8046466	11283.3040466	0.TR1.2014.4.1.9.03.WAV_1	TR1-D1	16.0261183043	high
2.56689342403628	2.70764172335601	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	2.56689342403628	4	Spectrogram 1	1	1804.718	11155.2174	213.SJA.2013.5.7.7.35.WAV_3	SJA-D3	22.6973123229	low
2.80764172335601	2.91809523809524	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	2.80764172335601	5	Spectrogram 1	1	2068.643	11419.1424	87.SUR.2012.2.3.9.57.WAV_1	SUR-J2	13.763224157	low
3.01809523809524	3.13925170068027	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	3.01809523809524	6	Spectrogram 1	1	1696.2	11046.6994	0.SJA.2018.7.10.8.32.WAV_2	SJA-C1	14.2906009035277	high
3.23925170068027	3.41	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	3.23925170068027	7	Spectrogram 1	1	1691.607	11042.1064	312.CCL.2014.4.17.8.11.WAV_4	CCL-M1	13.8396894035	low
3.51	3.64092970521542	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	3.51	8	Spectrogram 1	1	1556.8	10907.2994	0.SUR.2017.05.26.9.45.WAV_1	SUR-K2	25.9983143325	high
3.74092970521542	3.90551020408163	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	3.74092970521542	9	Spectrogram 1	1	1843.9661088	11194.4655088	0.CCL.2017.05.22.7.58.WAV_20	CCL-N1	16.4706493394	high
4.00551020408163	4.13975056689342	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	4.00551020408163	10	Spectrogram 1	1	1653.903	11004.4024	213.SJA.2013.5.7.7.35.WAV_1-3	SJA-D3	22.0659482887	low
4.23975056689342	4.39732426303855	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	4.23975056689342	11	Spectrogram 1	1	1888.3853777	11238.8847777	11.SUR.2010.5.21.14.34.WAV_3-1	SUR-H1	11.9907281924	high
4.49732426303855	4.61507936507937	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	4.49732426303855	12	Spectrogram 1	1	2199.3202599	11549.8196599	38.SUR.2011.6.8.9.01.WAV_2	SUR-J1	18.7385638587	high
4.71507936507937	4.85934240362812	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	4.71507936507937	13	Spectrogram 1	1	2017.614	11368.1134	0.SUR.1981.2.27.ITM70862A-14.WAV_5	SUR-E1	12.7679221223	high
4.95934240362812	5.11106575963719	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	4.95934240362812	14	Spectrogram 1	1	2332.4782671	11682.9776671	0.TR1.2012.7.31.8.52.WAV_3	TR1-E4	17.0955056535	low
5.21106575963719	5.32471655328798	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	5.21106575963719	15	Spectrogram 1	1	1659.860124	11010.359524	0.CCL.2010.5.27.7.59.WAV_1-4	CCL-I1	10.239845088	low
5.42471655328798	5.56863945578231	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	5.42471655328798	16	Spectrogram 1	1	1616.2	10966.6994	36.SUR.2011.6.9.5.50.WAV_1-29	SUR-H3	11.8246140476	low
5.66863945578231	5.79507936507937	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	5.66863945578231	17	Spectrogram 1	1	2842.571	12193.0704	0.SUR.2014.7.28.8.20.WAV_5	SUR-J4	23.6455275578	low
5.89507936507936	6.03294784580499	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	5.89507936507936	18	Spectrogram 1	1	1890.41	11240.9094	0.SUR.1970.7.23.ITM70861B-31.WAV_3	SUR-A4	15.7560620371	low
6.13294784580499	6.28884353741497	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	6.13294784580499	19	Spectrogram 1	1	2238.6847942	11589.1841942	0.CCE.1982.2.25.ITM70862A-21.WAV_2	CCE-F1	9.434661166	high
6.38884353741497	6.50854875283447	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	6.38884353741497	20	Spectrogram 1	1	2030.939	11381.4384	40.SUR.2011.6.8.8.21.WAV_1-50	SUR-F5	20.1321623226	low
6.60854875283447	6.75480725623583	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	6.60854875283447	21	Spectrogram 1	1	1496.8	10847.2994	0.SAT.2017.7.5.8.47.WAV_1	SAT-G1	23.115209659	high
6.85480725623583	6.99020408163265	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	6.85480725623583	22	Spectrogram 1	1	2231.099	11581.5984	0.SUR.2009.5.25.7.46 (2).WAV_3	SUR-F3	3.0038395684	low
7.09020408163265	7.1902947845805	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	7.09020408163265	23	Spectrogram 1	1	1932.8046466	11283.3040466	0.TR1.2014.4.1.9.03.WAV_1	TR1-D1	16.0261183043	high
7.2902947845805	7.43655328798186	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	7.2902947845805	24	Spectrogram 1	1	1496.8	10847.2994	0.SAT.2017.7.5.8.47.WAV_1	SAT-G1	23.115209659	high
7.53655328798186	7.64106575963719	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	7.53655328798186	25	Spectrogram 1	1	1799.5468399	11150.0462399	0.TR1.2011.8.2.7.03.WAV_5	TR1-D1	20.0337413304	high
7.74106575963719	7.89249433106576	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	7.74106575963719	26	Spectrogram 1	1	1891.3899921	11241.8893921	0.BR1.2013.6.7.8.07.WAV_1	BR1-D3	14.6582711409	low
7.99249433106576	8.14392290249433	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	7.99249433106576	27	Spectrogram 1	1	1891.3899921	11241.8893921	0.BR1.2013.6.7.8.07.WAV_1	BR1-D3	14.6582711409	low
8.24392290249433	8.37972789115646	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	8.24392290249433	28	Spectrogram 1	1	1934.9	11285.3994	0.SUR.2016.6.22.8.40.wav_6	SUR-K4	20.1234601248	low
8.47972789115646	8.61553287981859	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	8.47972789115646	29	Spectrogram 1	1	1934.9	11285.3994	0.SUR.2016.6.22.8.40.wav_6	SUR-K4	20.1234601248	low
8.71553287981859	8.84888888888889	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	8.71553287981859	30	Spectrogram 1	1	2038.2	11388.6994	374.SUR.2016.6.22.7.06.wav_4	SUR-J3	21.5071409747	high
8.94888888888889	9.1050566893424	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	8.94888888888889	31	Spectrogram 1	1	2257.161	11607.6604	111.LOC.2012.4.12.8.45.WAV_3-3	LOC-A1	21.5954806061	high
9.2050566893424	9.33757369614513	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	9.2050566893424	32	Spectrogram 1	1	1939.333	11289.8324	0.SUR.1970.7.23.ITM70858B-2.WAV_3	SUR-A5	13.3628863884	low
9.43757369614512	9.58732426303855	prevalence_master.wav	/home/m/Dropbox/Projects/lbh_songtype_prevalence_and_degradation/data/processed/prevalence_master.wav	9.43757369614512	33	Spectrogram 1	1	1891.3899921	11241.8893921	0.BR1.2013.6.7.8.15.WAV_2	BR1-D3	13.7870123132	low
